	CV_E2i_Group:Group:A	CV_E2i_Group:Group:B	CV_E2i_Group:Group:C	CV_E2i_Group:Group:D	CV_E2i_Group:Group:E
PC1	4.910714286e-01	5.000000000e-01	5.000000000e-01	5.000000000e-01	5.800000000e-01
PC2	7.142857143e-02	5.000000000e-01	5.000000000e-01	5.000000000e-01	2.700000000e-01
PC3	7.142857143e-02	1.666666667e-01	4.494047619e-01	5.200000000e-01	1.033333333e-01
PC4	2.220446049e-16	1.666666667e-01	3.779761905e-01	2.900000000e-01	8.333333333e-02
PC5	2.220446049e-16	1.666666667e-01	4.196428571e-01	2.066666667e-01	8.333333333e-02
PC6	2.220446049e-16	2.342857143e-01	3.750000000e-01	2.243589744e-01	2.220446049e-16
PC7	2.220446049e-16	1.636904762e-01	3.482142857e-01	2.243589744e-01	2.220446049e-16
PC8	2.220446049e-16	2.083333333e-01	3.657142857e-01	2.222222222e-01	7.142857143e-02
PC9	2.220446049e-16	1.636904762e-01	3.482142857e-01	2.243589744e-01	2.220446049e-16
PC10	2.220446049e-16	2.083333333e-01	3.457142857e-01	2.407407407e-01	7.142857143e-02
