	MSEE_Y_Group:Group:A	MSEE_Y_Group:Group:B	MSEE_Y_Group:Group:C	MSEE_Y_Group:Group:D	MSEE_Y_Group:Group:E
PC1	1.097684924e-01	1.545895872e-01	1.639621814e-01	1.667952931e-01	1.347482221e-01
PC2	3.473278628e-02	1.527494291e-01	1.500880750e-01	1.629575310e-01	5.245490341e-02
PC3	2.790639603e-02	5.089646996e-02	1.124259399e-01	1.449242972e-01	4.706575018e-02
PC4	2.302436400e-02	4.349744110e-02	9.234707593e-02	7.064843523e-02	3.391195262e-02
PC5	1.967121088e-02	4.342572247e-02	6.210377214e-02	5.153525896e-02	2.350168674e-02
PC6	1.127308307e-02	4.017751934e-02	5.982936782e-02	3.753895189e-02	1.242126880e-02
PC7	9.452274869e-03	3.054570820e-02	4.254622713e-02	3.746765331e-02	1.210474167e-02
PC8	8.672864362e-03	2.755391151e-02	3.001526279e-02	3.342530579e-02	1.093147971e-02
PC9	7.175237620e-03	2.437207875e-02	2.957305041e-02	2.627727696e-02	9.933567404e-03
PC10	5.406870148e-03	2.013035331e-02	2.952149146e-02	1.961468416e-02	5.613319266e-03
