	P-Value	-Log10[P-Value]	Adj-P-Value	-Log10[Adj-P-Value]	Z-Score	Abs[Z-Score]	FoldChange	Log2[FoldChange]
NADPH	3.735349259e-04	3.427668785e+00	7.589019939e-02	1.119814306e+00	6.142849415e+00	6.142849415e+00	4.335628025e+00	2.116240986e+00
NADH	6.161618383e-03	2.210305203e+00	4.401028067e-01	3.564458618e-01	3.983459230e+00	3.983459230e+00	2.031590785e+00	1.022609835e+00
NADP_	8.373998411e-03	2.077067126e+00	4.401028067e-01	3.564458618e-01	-3.304404089e+00	3.304404089e+00	5.054717648e-01	-9.842975883e-01
Methionine	8.664822105e-03	2.062240349e+00	4.401028067e-01	3.564458618e-01	3.266938309e+00	3.266938309e+00	1.527509545e+00	6.111813951e-01
UDP_glucose	1.228322391e-02	1.910687631e+00	4.991106572e-01	3.018031568e-01	-3.120268573e+00	3.120268573e+00	8.084350850e-01	-3.067961607e-01
NAD_	1.923504419e-02	1.715906812e+00	6.513230035e-01	1.862035831e-01	-2.916087431e+00	2.916087431e+00	8.189266672e-01	-2.881938270e-01
UDP_glucuronate	4.305599909e-02	1.365966329e+00	1.175370198e+00	-7.017467486e-02	2.374908956e+00	2.374908956e+00	1.234905796e+00	3.044009906e-01
Malate	4.628179379e-02	1.334589817e+00	1.175370198e+00	-7.017467486e-02	-2.323346609e+00	2.323346609e+00	7.202524622e-01	-4.734254076e-01
Alanine	5.448008393e-02	1.263762232e+00	1.229843181e+00	-8.984973732e-02	-2.209169089e+00	2.209169089e+00	7.296710799e-01	-4.546818204e-01
Glucose	1.103658567e-01	9.571652613e-01	2.242276769e+00	-3.506892175e-01	1.764210096e+00	1.764210096e+00	1.175126867e+00	2.328165193e-01
Methanol	1.363228831e-01	8.654312376e-01	2.398267841e+00	-3.798976838e-01	1.673512694e+00	1.673512694e+00	1.247795412e+00	3.193814097e-01
Histidine	1.416525676e-01	8.487755489e-01	2.398267841e+00	-3.798976838e-01	-1.595670276e+00	1.595670276e+00	8.342785290e-01	-2.613989782e-01
ATP	1.559606730e-01	8.069848994e-01	2.422391906e+00	-3.842444067e-01	1.547572460e+00	1.547572460e+00	2.036861812e+00	1.026348106e+00
Creatine	1.774314786e-01	7.509693282e-01	2.422391906e+00	-3.842444067e-01	-1.452676843e+00	1.452676843e+00	8.854928295e-01	-1.754474704e-01
Phenylalanine	1.788468053e-01	7.475188131e-01	2.422391906e+00	-3.842444067e-01	-1.468180021e+00	1.468180021e+00	7.297830775e-01	-4.544603973e-01
Glycine	1.915329254e-01	7.177565580e-01	2.432080458e+00	-3.859779382e-01	-1.403974993e+00	1.403974993e+00	9.514767294e-01	-7.175972238e-02
Fumarate	3.270762087e-01	4.853510450e-01	3.908899570e+00	-5.920545124e-01	-1.065030788e+00	1.065030788e+00	8.229011832e-01	-2.812088977e-01
Taurine	3.821107771e-01	4.178107132e-01	3.992472933e+00	-6.012419805e-01	9.217187711e-01	9.217187711e-01	1.118195525e+00	1.611724767e-01
Ascorbat	4.421052849e-01	3.544742936e-01	3.992472933e+00	-6.012419805e-01	-8.151078097e-01	8.151078097e-01	8.814779879e-01	-1.820035516e-01
Formate	4.561001020e-01	3.409398307e-01	3.992472933e+00	-6.012419805e-01	7.844837443e-01	7.844837443e-01	1.080538491e+00	1.117504649e-01
Glutamine	4.570660031e-01	3.400210806e-01	3.992472933e+00	-6.012419805e-01	7.792936636e-01	7.792936636e-01	1.125395814e+00	1.704325017e-01
Aspartate	4.736077830e-01	3.245811693e-01	3.992472933e+00	-6.012419805e-01	7.511192048e-01	7.511192048e-01	1.157009973e+00	2.104013004e-01
Ethanol	4.738935291e-01	3.243192215e-01	3.992472933e+00	-6.012419805e-01	7.650676729e-01	7.650676729e-01	1.412762606e+00	4.985190623e-01
Glutamate	4.917437790e-01	3.082611256e-01	3.992472933e+00	-6.012419805e-01	-7.265041525e-01	7.265041525e-01	9.284409609e-01	-1.071179220e-01
Betaine	5.309319350e-01	2.749611515e-01	3.992472933e+00	-6.012419805e-01	-6.502519847e-01	6.502519847e-01	7.674338810e-01	-3.818856359e-01
Leucine	5.325860793e-01	2.736101893e-01	3.992472933e+00	-6.012419805e-01	-6.518538026e-01	6.518538026e-01	9.639595241e-01	-5.295552483e-02
IMP	5.393856361e-01	2.681006230e-01	3.992472933e+00	-6.012419805e-01	6.393505473e-01	6.393505473e-01	1.167921449e+00	2.239432456e-01
Valine	5.502316058e-01	2.594544670e-01	3.992472933e+00	-6.012419805e-01	-6.250924792e-01	6.250924792e-01	9.371180985e-01	-9.369722270e-02
Isoleucine	5.996119013e-01	2.221297557e-01	4.137204337e+00	-6.167069712e-01	-5.470543095e-01	5.470543095e-01	9.536249650e-01	-6.850609017e-02
Tyrosine	6.109050949e-01	2.140262529e-01	4.137204337e+00	-6.167069712e-01	-5.257680604e-01	5.257680604e-01	9.604382909e-01	-5.823517257e-02
Cholate	6.785375420e-01	1.684261188e-01	4.216181865e+00	-6.249193359e-01	-4.345491282e-01	4.345491282e-01	6.203366612e-01	-6.888767059e-01
AMP	6.848146823e-01	1.644269371e-01	4.216181865e+00	-6.249193359e-01	4.184322953e-01	4.184322953e-01	1.019403960e+00	2.772586328e-02
Lysine	6.897314188e-01	1.613199905e-01	4.216181865e+00	-6.249193359e-01	4.116846454e-01	4.116846454e-01	1.055916431e+00	7.849565855e-02
Inosine	7.055759581e-01	1.514562258e-01	4.216181865e+00	-6.249193359e-01	-3.912544337e-01	3.912544337e-01	9.601731174e-01	-5.863355043e-02
Succinate	7.315344501e-01	1.357652169e-01	4.246403094e+00	-6.280212176e-01	3.528819676e-01	3.528819676e-01	1.043793847e+00	6.183680217e-02
ADP	7.744814454e-01	1.109889824e-01	4.370820745e+00	-6.405629957e-01	-2.981033091e-01	2.981033091e-01	9.698780189e-01	-4.412478330e-02
Glutathione	8.002562299e-01	9.677093626e-02	4.394220223e+00	-6.428818185e-01	2.618880446e-01	2.618880446e-01	1.017483725e+00	2.500571859e-02
Lactate	8.252066905e-01	8.343725959e-02	4.411980889e+00	-6.446336226e-01	-2.269570007e-01	2.269570007e-01	9.480920866e-01	-7.690090242e-02
Acetate	9.502958424e-01	2.214117079e-02	4.950495853e+00	-6.946487010e-01	6.391950212e-02	6.391950212e-02	1.004766084e+00	6.859671806e-03
Glucose_1_phosphate	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
Glucose_6_phosphate	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
Hypoxanthine	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
Maltose	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
Niacinamide	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
Uracil	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
Uridine	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
