	Mean Group:Group:D	Std Group:Group:D	Q2 Group:Group:D	IQR Group:Group:D
AMP	3.016837427e+00	2.651808795e-01	3.020675408e+00	3.577180700e-01
ADP	1.364645013e+00	1.350100959e-01	1.333481290e+00	2.258766920e-01
ATP	7.440855040e-02	9.938591207e-02	3.730793651e-02	1.230318258e-01
Acetate	1.014241841e+00	1.284395725e-01	9.973215349e-01	2.468709721e-01
Alanine	2.640730223e+00	6.457293398e-01	2.681873818e+00	9.932675470e-01
Ascorbat	9.627114460e-01	3.128616853e-01	1.008827666e+00	4.815931190e-01
Aspartate	6.568942407e-01	1.731366032e-01	6.591058364e-01	9.576226270e-02
Betaine	2.410462017e+00	1.654969382e+00	1.917460074e+00	2.368519760e+00
Cholate	2.926985723e-02	5.905865201e-02	0.000000000e+00	2.798095238e-02
Creatine	2.530649248e-01	3.665780714e-02	2.456525955e-01	1.799607890e-02
Ethanol	7.020222163e+01	2.623147116e+01	6.225705431e+01	4.298685579e+01
Formate	1.414311756e-01	3.121734626e-02	1.447759216e-01	5.118419930e-02
Fumarate	3.457579721e-01	4.492258557e-02	3.625768726e-01	5.420004350e-02
Glucose	2.556613494e+01	4.953615427e+00	2.345064617e+01	5.035155040e+00
Glucose_1_phosphate	0.000000000e+00	0.000000000e+00	0.000000000e+00	0.000000000e+00
Glucose_6_phosphate	0.000000000e+00	0.000000000e+00	0.000000000e+00	0.000000000e+00
Glutamate	4.526058876e+00	1.002207583e+00	4.622282817e+00	3.980119780e-01
Glutamine	5.987344511e+00	1.262425618e+00	5.508075870e+00	2.025059584e+00
Glutathione	5.773553855e+00	8.292597446e-01	5.858087300e+00	1.491841699e+00
Glycine	2.865857053e+00	1.860994966e-01	2.862508252e+00	2.316310310e-01
Histidine	7.698735248e-01	1.394582142e-01	7.934447786e-01	1.315027680e-01
Hypoxanthine	0.000000000e+00	0.000000000e+00	0.000000000e+00	0.000000000e+00
IMP	3.520127117e-01	1.224364438e-01	3.199882029e-01	2.125637997e-01
Inosine	2.796909584e-01	5.974776135e-02	2.805657658e-01	5.246646450e-02
Isoleucine	2.670095521e-01	4.847714320e-02	2.574284279e-01	9.370603450e-02
Lactate	4.856505308e+00	2.106155790e+00	4.612702109e+00	3.386955034e+00
Leucine	5.294057299e-01	6.181808937e-02	5.168194278e-01	4.477530500e-02
Lysine	5.324687338e-01	1.392755956e-01	5.491292486e-01	1.990654941e-01
Malate	9.321815356e-01	1.515927753e-01	8.996128272e-01	1.181013117e-01
Maltose	0.000000000e+00	0.000000000e+00	0.000000000e+00	0.000000000e+00
Methanol	1.385472095e+01	2.228417335e+00	1.368142024e+01	2.563268830e+00
Methionine	8.595858025e-02	2.240194018e-02	8.995697420e-02	3.508734664e-02
NAD_	1.328359585e+00	1.743645506e-01	1.383203095e+00	3.276590610e-01
NADP_	2.109290386e-01	4.895344183e-02	1.980924243e-01	2.651286370e-02
NADH	8.349914792e-02	1.933029723e-02	7.976375866e-02	3.091008792e-02
NADPH	5.184339050e-02	3.124258346e-02	4.835305581e-02	3.717823433e-02
Niacinamide	0.000000000e+00	0.000000000e+00	0.000000000e+00	0.000000000e+00
Phenylalanine	1.825138507e-01	4.313043301e-02	1.658069990e-01	8.608246990e-02
Succinate	1.182293365e+00	2.625442750e-01	1.174024491e+00	4.297649030e-01
Taurine	2.356291944e+01	3.981731113e+00	2.326381506e+01	5.246809910e+00
Tyrosine	2.387543810e-01	3.391009992e-02	2.211021871e-01	4.809425920e-02
UDP_glucose	8.748991971e-01	1.072895649e-01	9.027575517e-01	1.870696249e-01
UDP_glucuronate	4.922800818e-01	1.003665482e-01	4.882851228e-01	1.346588418e-01
Uracil	0.000000000e+00	0.000000000e+00	0.000000000e+00	0.000000000e+00
Uridine	0.000000000e+00	0.000000000e+00	0.000000000e+00	0.000000000e+00
Valine	4.856872762e-01	1.058055619e-01	4.609586909e-01	1.729602613e-01
