	R2Y_Group:Group:A	R2Y_Group:Group:B	R2Y_Group:Group:C	R2Y_Group:Group:D	R2Y_Group:Group:E
PC1	4.322319358e-01	2.003986870e-01	1.519197513e-01	1.372657252e-01	3.030264374e-01
PC2	8.203476571e-01	2.099167458e-01	2.236823705e-01	1.571162187e-01	7.286815341e-01
PC3	8.556565722e-01	7.367423967e-01	4.184865179e-01	2.503915663e-01	7.565564646e-01
PC4	8.809084621e-01	7.750132357e-01	5.223427107e-01	6.345770591e-01	8.245933485e-01
PC5	8.982523575e-01	7.753841941e-01	6.787735924e-01	7.334383157e-01	8.784395513e-01
PC6	9.416909497e-01	7.921852448e-01	6.905377527e-01	8.058330075e-01	9.357520579e-01
PC7	9.511089231e-01	8.420049576e-01	7.799333080e-01	8.062017932e-01	9.373892672e-01
PC8	9.551403567e-01	8.574797680e-01	8.447486407e-01	8.271104873e-01	9.434578636e-01
PC9	9.628867020e-01	8.739375237e-01	8.470359462e-01	8.640830502e-01	9.486194789e-01
PC10	9.720334303e-01	8.958774829e-01	8.473026304e-01	8.985447371e-01	9.709655900e-01
